id,title,amount_granted,amount_sought,init_year,period,gender,age,position,inst1_id,inst2_id,inst1_dirty,inst2_dirty,funder1_id,funder2_id,person_id,kw1,kw2,full_name,last_name,first_name,prob_inst_id,institution_name,funder_name,type,gender_new
29,the role of non-coding rnas in the pathogenesis of multiple myeloma and acute myeloid leukemia,1000000,0,2013,0,0,-1,"",63,1,aalborg sygehus,NULL,1,2,4100,"","",kauppinen; sakari,kauppinen,sakari,0,aalborg-hosp,novo nordisk,Projekt,3
30,the role of non-coding rnas in the pathogenesis of multiple myeloma and acute myeloid leukemia,2000000,0,2013,0,0,-1,"",63,1,aalborg sygehus,NULL,10,0,4100,"","",kauppinen; sakari,kauppinen,sakari,0,aalborg-hosp,lundbeck fonden,Projekt,3
31,betydning af kromosomale regioners tab eller amplifikation på loci-specifikke udtryk af gener og mikrornaer ved maligne b celle lymfoproliferative sygdomme.,100000,0,2007,12,0,-1,"",63,1,aalborg sygehus,NULL,13,0,4276,"","",kloster; maria bro,kloster,maria bro,0,aalborg-hosp,kræftens bekæmpelse,Skolarstipendier,0
32,"",1237200,3580000,2005,0,1,-1,"prof. overlæge, dr.med.",63,1,aalborg sygehus,NULL,6,12,4793,"",biomedicinsk forskning,laurberg; peter,laurberg,peter,0,aalborg-hosp,det frie forskningsråd,Projekt,1
33,"",59400,75300,2005,0,1,-1,"læge, klinisk assistent",63,1,aalborg sygehus,NULL,6,12,5190,"",klinisk forskning,madsen; esben hjorth,madsen,esben hjorth,0,aalborg-hosp,det frie forskningsråd,Rejser/konferencer/mobilitet,1
34,"",55950,98000,2006,0,1,-1,"cand.scient., ph.d.",63,1,aalborg sygehus,NULL,6,12,6198,"",biomedicinsk forskning,okkels; henrik,okkels,henrik,0,aalborg-hosp,det frie forskningsråd,Rejser/konferencer/mobilitet,1
35,test af hypotesen; der eksisterer en lymfom stamcelle som er i stand til at selv-forny.,120000,0,2006,12,0,-1,"",63,1,aalborg sygehus,NULL,13,0,6554,"","",pedersen; malene krag,pedersen,malene krag,0,aalborg-hosp,kræftens bekæmpelse,Skolarstipendier,0
36,"",51611,38880,2006,0,1,-1,"professor, overlæge, dr.med.",63,1,aalborg sygehus,NULL,6,12,7457,"",samfundsmedicin og epidemiolog,schonheyder; henrik carl,schonheyder,henrik carl,0,aalborg-hosp,det frie forskningsråd,Rejser/konferencer/mobilitet,1
37,"prognosen for invasiv ovariecancer i danmark siden 1977: kirurgisk organisering, kvaliteten af registreringen og andre sygdommes betydning for prognosen.",429000,0,2005,12,0,-1,"",63,1,aalborg sygehus,NULL,13,0,8216,"","",tetsche; mette skytte,tetsche,mette skytte,0,aalborg-hosp,kræftens bekæmpelse,Projekt,0
38,"in silico og in vitro analyser til identifikation af gener, som regulerer stamceller i cancer celle linier med højt clonogent potentiale.",60000,0,2007,12,0,-1,"",63,1,aalborg sygehus,NULL,13,0,8476,"","",urup; thomas,urup,thomas,0,aalborg-hosp,kræftens bekæmpelse,Skolarstipendier,1
